BHID,FROM,TO,_len,caco3,_acum,azmm,dipm,xm,ym,zm,azmb,dipb,xb,yb,zb,azme,dipe,xe,ye,ze,BHIDint
GL10DH2,60.0,63.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762581.551453471,309449.4485462755,1362.5656764507294,135.0,-80.00001525878906,9762581.3672719,309449.6327278614,1361.0884647369385,135.0,-79.99999237060547,9762581.735635296,309449.26436445117,1364.042888045311,2
GL10DH2,63.0,66.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762581.91981712,309449.08018262684,1365.5200996398926,135.0,-79.99999237060547,9762581.735635296,309449.26436445117,1364.042888045311,135.0,-79.99999237060547,9762582.103998944,309448.8960008025,1366.9973112344742,2
GL10DH2,66.0,69.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762582.288180768,309448.7118189782,1368.4745228290558,135.0,-79.99999237060547,9762582.103998944,309448.8960008025,1366.9973112344742,135.0,-79.99999237060547,9762582.472362593,309448.52763715386,1369.9517344236374,2
GL10DH2,69.0,72.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762582.656544417,309448.34345532954,1371.428946018219,135.0,-79.99999237060547,9762582.472362593,309448.52763715386,1369.9517344236374,135.0,-79.99999237060547,9762582.840726241,309448.1592735052,1372.9061576128006,2
GL10DH2,72.0,75.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762583.024908066,309447.9750916809,1374.3833692073822,135.0,-79.99999237060547,9762582.840726241,309448.1592735052,1372.9061576128006,135.0,-79.99999237060547,9762583.20908989,309447.79090985656,1375.8605808019638,2
GL10DH2,75.0,78.0,3.0,0.0,0.0,135.0,-79.9999771118164,9762583.393271834,309447.6067278981,1377.3377923965454,135.0,-79.99999237060547,9762583.20908989,309447.79090985656,1375.8605808019638,135.0,-79.99999237060547,9762583.577453777,309447.4225459397,1378.815003991127,2
GL10DH2,78.0,81.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762583.761635602,309447.23836411536,1380.2922155857086,135.0,-79.99999237060547,9762583.577453777,309447.4225459397,1378.815003991127,135.0,-80.00001525878906,9762583.945817173,309447.05418252945,1381.7694272994995,2
GL10DH2,81.0,84.0,3.0,0.0,0.0,135.0,-79.99999237060547,9762584.129998744,309446.87000094354,1383.2466390132904,135.0,-80.00001525878906,9762583.945817173,309447.05418252945,1381.7694272994995,135.0,-79.99999237060547,9762584.314180568,309446.6858191192,1384.723850607872,2
GL10DH2,84.0,87.0,3.0,62.49333333333333,187.48,135.0,-79.9999771118164,9762584.498362511,309446.5016371608,1386.2010622024536,135.0,-79.99999237060547,9762584.314180568,309446.6858191192,1384.723850607872,135.0,-79.99999237060547,9762584.682544455,309446.31745520234,1387.6782737970352,2
GL10DH2,87.0,90.0,3.0,93.74,281.21999999999997,135.0,-79.99999237060547,9762584.86672628,309446.133273378,1389.1554853916168,135.0,-79.99999237060547,9762584.682544455,309446.31745520234,1387.6782737970352,135.0,-80.00001525878906,9762585.05090785,309445.9490917921,1390.6326971054077,2
GL10DH2,90.0,93.0,3.0,93.74,281.21999999999997,135.0,-79.99999237060547,9762585.235089421,309445.7649102062,1392.1099088191986,135.0,-80.00001525878906,9762585.05090785,309445.9490917921,1390.6326971054077,135.0,-79.99999237060547,9762585.419271246,309445.5807283819,1393.5871204137802,2
GL10DH2,93.0,96.0,3.0,93.74,281.21999999999997,135.0,-79.9999771118164,9762585.60345319,309445.39654642344,1395.0643320083618,135.0,-79.99999237060547,9762585.419271246,309445.5807283819,1393.5871204137802,135.0,-79.99999237060547,9762585.787635133,309445.212364465,1396.5415436029434,2
GL10DH2,96.0,99.0,3.0,93.85593333333333,281.5678,135.0,-79.99999237060547,9762585.971816957,309445.0281826407,1398.018755197525,135.0,-79.99999237060547,9762585.787635133,309445.212364465,1396.5415436029434,135.0,-80.00001525878906,9762586.155998528,309444.84400105476,1399.495966911316,2
GL10DH2,99.0,102.0,3.0,93.87866666666666,281.63599999999997,135.0,-79.99999237060547,9762586.340180099,309444.65981946886,1400.9731786251068,135.0,-80.00001525878906,9762586.155998528,309444.84400105476,1399.495966911316,135.0,-80.00001525878906,9762586.52436167,309444.47563788295,1402.4503903388977,2
