IJK,IX,IY,IZ,XC,YC,ZC,__in,caco3_OK,caco3_ID2,caco3_NN,caco3_Lagrange,caco3_KVar
1669,17,9,1,309535.0,9762515.0,1175.0,0.875,86.45768,86.61387,64.3782,-0.1723478,0.75135
1670,18,9,1,309545.0,9762515.0,1175.0,0.375,88.521286,88.471214,64.3782,-0.22030577,0.80040455
1692,12,10,1,309485.0,9762525.0,1175.0,0.125,83.24433,83.53906,64.3782,-0.14730464,0.6597282
1693,13,10,1,309495.0,9762525.0,1175.0,0.375,83.72099,83.784195,64.3782,-0.15178803,0.6800842
1694,14,10,1,309505.0,9762525.0,1175.0,0.5,85.093216,84.632095,64.3782,-0.12812175,0.679074
1695,15,10,1,309515.0,9762525.0,1175.0,0.625,86.181114,85.57627,64.3782,-0.15182747,0.71069646
1696,16,10,1,309525.0,9762525.0,1175.0,0.875,86.40261,86.06007,64.3782,-0.16068766,0.72979724
1697,17,10,1,309535.0,9762525.0,1175.0,1.0,86.35524,86.442,64.3782,-0.17073119,0.74755853
1698,18,10,1,309545.0,9762525.0,1175.0,0.75,88.43095,88.234886,64.3782,-0.21727079,0.7940569
1699,19,10,1,309555.0,9762525.0,1175.0,0.25,88.57774,88.65086,90.880135,-0.22115219,0.8016655
1721,13,11,1,309495.0,9762535.0,1175.0,0.125,83.1288,83.25623,64.3782,-0.15292962,0.6625807
1722,14,11,1,309505.0,9762535.0,1175.0,0.375,84.7797,84.15251,64.3782,-0.12535886,0.66563624
1723,15,11,1,309515.0,9762535.0,1175.0,0.5,85.96225,85.238625,64.3782,-0.14940302,0.70181996
1724,16,11,1,309525.0,9762535.0,1175.0,0.625,86.31468,85.98119,64.3782,-0.13639964,0.7047407
1725,17,11,1,309535.0,9762535.0,1175.0,0.875,88.46663,87.86416,64.3782,-0.15693559,0.7302083
1726,18,11,1,309545.0,9762535.0,1175.0,1.0,88.49132,88.30183,64.3782,-0.164506,0.7419792
1727,19,11,1,309555.0,9762535.0,1175.0,0.625,88.6831,88.745,90.880135,-0.16707921,0.7466967
1728,20,11,1,309565.0,9762535.0,1175.0,0.125,87.67741,88.539566,90.880135,-0.23614207,0.80971336
1750,14,12,1,309505.0,9762545.0,1175.0,0.25,82.86832,83.771996,64.3782,-0.12561247,0.6531187
1751,15,12,1,309515.0,9762545.0,1175.0,0.5,87.42523,86.15354,64.3782,-0.1420593,0.6875334
1752,16,12,1,309525.0,9762545.0,1175.0,0.5,87.98343,87.038704,64.3782,-0.14772294,0.70715094
1753,17,12,1,309535.0,9762545.0,1175.0,0.75,88.37834,87.782974,64.3782,-0.1520731,0.71922326
1754,18,12,1,309545.0,9762545.0,1175.0,1.0,88.68312,88.40911,90.880135,-0.15481816,0.72520643
