IJK,IX,IY,IZ,XC,YC,ZC,__in
3354,22,19,2,309585.0,9762615.0,1185.0,0.875
3355,23,19,2,309595.0,9762615.0,1185.0,0.5
3381,21,20,2,309575.0,9762625.0,1185.0,0.25
3382,22,20,2,309585.0,9762625.0,1185.0,0.75
3383,23,20,2,309595.0,9762625.0,1185.0,0.5
3409,21,21,2,309575.0,9762635.0,1185.0,0.25
3410,22,21,2,309585.0,9762635.0,1185.0,0.625
3411,23,21,2,309595.0,9762635.0,1185.0,0.375
3437,21,22,2,309575.0,9762645.0,1185.0,0.125
3438,22,22,2,309585.0,9762645.0,1185.0,0.375
3439,23,22,2,309595.0,9762645.0,1185.0,0.25
3466,22,23,2,309585.0,9762655.0,1185.0,0.125
3467,23,23,2,309595.0,9762655.0,1185.0,0.125
4211,11,0,3,309475.0,9762425.0,1195.0,0.25
4212,12,0,3,309485.0,9762425.0,1195.0,0.25
4236,8,1,3,309445.0,9762435.0,1195.0,0.125
4237,9,1,3,309455.0,9762435.0,1195.0,0.375
4238,10,1,3,309465.0,9762435.0,1195.0,0.5
4239,11,1,3,309475.0,9762435.0,1195.0,0.75
4240,12,1,3,309485.0,9762435.0,1195.0,0.75
4241,13,1,3,309495.0,9762435.0,1195.0,0.25
4262,6,2,3,309425.0,9762445.0,1195.0,0.125
4263,7,2,3,309435.0,9762445.0,1195.0,0.25
4264,8,2,3,309445.0,9762445.0,1195.0,0.5
4265,9,2,3,309455.0,9762445.0,1195.0,0.875
4266,10,2,3,309465.0,9762445.0,1195.0,1.0
4267,11,2,3,309475.0,9762445.0,1195.0,1.0
4268,12,2,3,309485.0,9762445.0,1195.0,1.0
4269,13,2,3,309495.0,9762445.0,1195.0,0.5
4290,6,3,3,309425.0,9762455.0,1195.0,0.125
4291,7,3,3,309435.0,9762455.0,1195.0,0.375
4292,8,3,3,309445.0,9762455.0,1195.0,0.625
4293,9,3,3,309455.0,9762455.0,1195.0,0.875
4294,10,3,3,309465.0,9762455.0,1195.0,1.0
4295,11,3,3,309475.0,9762455.0,1195.0,1.0
4296,12,3,3,309485.0,9762455.0,1195.0,1.0
4297,13,3,3,309495.0,9762455.0,1195.0,0.75
4298,14,3,3,309505.0,9762455.0,1195.0,0.25
4319,7,4,3,309435.0,9762465.0,1195.0,0.125
4320,8,4,3,309445.0,9762465.0,1195.0,0.375
4321,9,4,3,309455.0,9762465.0,1195.0,0.75
4322,10,4,3,309465.0,9762465.0,1195.0,1.0
4323,11,4,3,309475.0,9762465.0,1195.0,1.0
4324,12,4,3,309485.0,9762465.0,1195.0,1.0
4325,13,4,3,309495.0,9762465.0,1195.0,1.0
4326,14,4,3,309505.0,9762465.0,1195.0,0.75
4327,15,4,3,309515.0,9762465.0,1195.0,0.25
4348,8,5,3,309445.0,9762475.0,1195.0,0.25
4349,9,5,3,309455.0,9762475.0,1195.0,0.75
4350,10,5,3,309465.0,9762475.0,1195.0,1.0
4351,11,5,3,309475.0,9762475.0,1195.0,1.0
4352,12,5,3,309485.0,9762475.0,1195.0,1.0
4353,13,5,3,309495.0,9762475.0,1195.0,1.0
4354,14,5,3,309505.0,9762475.0,1195.0,1.0
4355,15,5,3,309515.0,9762475.0,1195.0,0.5
4376,8,6,3,309445.0,9762485.0,1195.0,0.25
4377,9,6,3,309455.0,9762485.0,1195.0,0.625
4378,10,6,3,309465.0,9762485.0,1195.0,0.875
4379,11,6,3,309475.0,9762485.0,1195.0,1.0
4380,12,6,3,309485.0,9762485.0,1195.0,1.0
4381,13,6,3,309495.0,9762485.0,1195.0,1.0
4382,14,6,3,309505.0,9762485.0,1195.0,1.0
4383,15,6,3,309515.0,9762485.0,1195.0,0.75
4384,16,6,3,309525.0,9762485.0,1195.0,0.25
4404,8,7,3,309445.0,9762495.0,1195.0,0.25
4405,9,7,3,309455.0,9762495.0,1195.0,0.5
4406,10,7,3,309465.0,9762495.0,1195.0,0.75
