IJK,IX,IY,IZ,XC,YC,ZC,__in,caco3_OK,caco3_ID2,caco3_NN,caco3_Lagrange,caco3_KVar
1693,13,10,1,309495.0,9762525.0,1175.0,0.375,84.79436,83.784195,64.3782,-94.86845,250.68828
1694,14,10,1,309505.0,9762525.0,1175.0,0.5,86.0718,84.632095,64.3782,-84.52372,240.34373
1695,15,10,1,309515.0,9762525.0,1175.0,0.625,86.963585,85.57627,64.3782,-90.13548,245.95552
1696,16,10,1,309525.0,9762525.0,1175.0,0.875,86.820175,86.06007,64.3782,-91.78644,247.60648
1697,17,10,1,309535.0,9762525.0,1175.0,1.0,86.15585,86.442,64.3782,-100.46546,256.2855
1698,18,10,1,309545.0,9762525.0,1175.0,0.75,88.560875,88.234886,64.3782,-132.30417,288.1242
1699,19,10,1,309555.0,9762525.0,1175.0,0.25,88.56088,88.65086,90.880135,-132.30417,288.1242
1721,13,11,1,309495.0,9762535.0,1175.0,0.125,84.11993,83.25623,64.3782,-103.949196,259.7678
1722,14,11,1,309505.0,9762535.0,1175.0,0.375,86.07178,84.15251,64.3782,-84.523575,240.34341
1723,15,11,1,309515.0,9762535.0,1175.0,0.5,86.96357,85.238625,64.3782,-90.13547,245.95549
1724,16,11,1,309525.0,9762535.0,1175.0,0.625,87.15798,85.98119,64.3782,-85.880585,241.70062
1725,17,11,1,309535.0,9762535.0,1175.0,0.875,89.228775,87.86416,64.3782,-91.623856,247.4439
1726,18,11,1,309545.0,9762535.0,1175.0,1.0,88.79306,88.30183,64.3782,-100.270706,256.09076
1727,19,11,1,309555.0,9762535.0,1175.0,0.625,88.79306,88.745,90.880135,-100.270706,256.09076
1728,20,11,1,309565.0,9762535.0,1175.0,0.125,87.49741,88.539566,90.880135,-138.79758,294.6176
1750,14,12,1,309505.0,9762545.0,1175.0,0.25,84.556946,83.771996,64.3782,-93.260605,249.07993
1751,15,12,1,309515.0,9762545.0,1175.0,0.5,89.18585,86.15354,64.3782,-91.62861,247.44858
